City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Euclides Da Cunha,BR,2021-09-10 03:54:28,-10.5075,-39.0158,61.88,96,5,4.12
204,Shache,CN,2021-09-10 03:54:28,38.4167,77.2406,85.26,11,4,6.73
205,Masty,BY,2021-09-10 03:54:29,53.4122,24.5387,51.89,86,6,6.04
206,Zarya,RU,2021-09-10 03:54:29,55.7553,38.0958,58.1,79,65,8.25
207,Galyugayevskaya,RU,2021-09-10 03:54:29,43.6969,44.9344,58.14,69,0,5.5
208,Syrskoye,RU,2021-09-10 03:54:30,52.5744,39.4966,57.85,71,78,8.77
209,Bud,US,2021-09-10 03:54:30,39.447,-86.1758,62.35,87,7,3.47
210,Yelbarga,IN,2021-09-10 03:54:30,15.6333,76.0167,74.59,78,98,19.26
211,Bandarbeyla,SO,2021-09-10 03:50:37,9.4942,50.8122,80.33,61,88,26.44
212,Morada Nova,BR,2021-09-10 03:54:31,-5.1067,-38.3725,73.02,85,6,4.99
213,Machhlishahr,IN,2021-09-10 03:54:31,25.6833,82.4167,85.95,65,27,5.01
214,Kirillov,RU,2021-09-10 03:54:31,59.863,38.3813,46.33,94,87,6.73
215,Clinton,US,2021-09-10 03:54:31,42.587,-82.9199,61.12,85,40,0.0
216,Ambovombe,MG,2021-09-10 03:50:39,-25.1667,46.0833,65.93,71,62,16.35
217,Skarnes,NO,2021-09-10 03:54:32,60.2528,11.6797,57.22,86,100,2.39
218,East London,ZA,2021-09-10 03:47:39,-33.0153,27.9116,61.74,77,0,13.8
219,Biltine,TD,2021-09-10 03:50:40,14.5333,20.9167,79.66,65,61,3.58
220,Black River,JM,2021-09-10 03:50:41,18.0264,-77.8487,82.4,84,20,3.13
221,Bousso,TD,2021-09-10 03:54:32,10.4795,16.7117,74.08,95,100,4.5
222,Sorland,NO,2021-09-10 03:50:41,67.667,12.6934,42.87,67,97,8.16
223,Sorokino,RU,2021-09-10 03:54:33,53.75,84.9167,59.61,33,90,13.85
224,Certeju De Sus,RO,2021-09-10 03:54:33,45.9667,22.9667,49.41,60,3,1.59
225,Norrtalje,SE,2021-09-10 03:54:33,59.758,18.705,57.24,97,99,5.46
226,Banda Aceh,ID,2021-09-10 03:54:33,5.5577,95.3222,84.18,67,98,11.36
227,Maragogi,BR,2021-09-10 03:54:34,-9.0122,-35.2225,74.91,84,78,7.74
228,Manicore,BR,2021-09-10 03:54:34,-5.8092,-61.3003,75.15,94,0,0.0
229,Bonthe,SL,2021-09-10 03:50:42,7.5264,-12.505,75.06,92,100,5.48
230,Bitlis,TR,2021-09-10 03:54:34,38.5,42.25,60.76,61,0,4.23
231,Ambilobe,MG,2021-09-10 03:50:43,-13.2,49.05,70.79,66,76,3.4
232,Vila Franca Do Campo,PT,2021-09-10 03:54:35,37.7167,-25.4333,72.01,83,100,9.13
